"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"David Carpenter","Braves","4","1","0","56","0","65.2","10.14","2.74","0.69",".260","90.2 %","38.2 %","8.2 %","1.78","2.83","3.11","0.9","3959"
"Matt Lindstrom","White Sox","2","4","0","76","0","60.2","6.82","3.41","0.30",".330","76.3 %","55.6 %","3.9 %","3.12","3.15","3.87","0.9","4604"
"Paco Rodriguez","Dodgers","3","4","2","76","0","54.1","10.44","3.15","0.83",".210","81.8 %","46.6 %","12.2 %","2.32","3.08","2.92","0.9","13398"
"Jean Machi","Giants","3","1","0","51","0","53.0","8.66","2.04","0.34",".301","77.9 %","54.4 %","5.3 %","2.38","2.29","2.78","0.9","3220"
"Brett Cecil","Blue Jays","5","1","1","60","0","60.2","10.38","3.41","0.59",".267","77.6 %","51.3 %","9.3 %","2.82","2.88","2.99","0.9","2660"
"Jared Burton","Twins","2","9","2","71","0","66.0","8.32","3.00","0.82",".294","74.1 %","41.5 %","8.2 %","3.82","3.61","3.94","0.9","8346"
"Josh Collmenter","Diamondbacks","5","5","0","49","0","92.0","8.32","3.23","0.78",".277","77.8 %","32.7 %","6.9 %","3.13","3.47","4.06","0.9","7312"
"Mike Dunn","Marlins","3","4","2","75","0","67.2","9.58","3.72","0.67",".271","81.1 %","39.5 %","6.6 %","2.66","3.12","3.70","0.9","9948"
"Brian Duensing","Twins","6","2","1","73","0","61.0","8.26","3.25","0.59",".348","74.1 %","41.0 %","6.8 %","3.98","3.24","3.71","0.9","4064"
"Jim Johnson","Orioles","3","8","50","74","0","70.1","7.17","2.30","0.64",".327","78.9 %","58.0 %","11.4 %","2.94","3.45","3.38","0.9","3656"
"Junichi Tazawa","Red Sox","5","4","0","71","0","68.1","9.48","1.58","1.19",".321","82.4 %","33.8 %","11.8 %","3.16","3.22","3.03","0.8","4079"
"J.P. Howell","Dodgers","4","1","0","67","0","62.0","7.84","3.34","0.29",".241","80.7 %","57.2 %","4.3 %","2.18","2.89","3.48","0.8","8245"
"Will Harris","Diamondbacks","4","1","0","61","0","52.2","9.06","2.56","0.51",".326","79.6 %","47.3 %","7.0 %","2.91","2.74","3.12","0.8","3192"
"J.J. Hoover","Reds","5","5","3","69","0","66.0","9.14","3.55","0.82",".244","81.1 %","30.8 %","7.4 %","2.86","3.47","3.97","0.8","9037"
"Oliver Perez","Mariners","3","3","2","61","0","53.0","12.57","4.42","1.02",".361","78.7 %","30.6 %","9.8 %","3.74","3.26","3.36","0.8","1514"
"Jesse Chavez","Athletics","2","4","1","35","0","57.1","8.63","3.14","0.47",".281","66.9 %","43.5 %","4.8 %","3.92","3.01","3.83","0.7","5448"
"Jason Frasor","Rangers","4","3","0","61","0","49.0","8.82","3.67","0.73",".250","81.4 %","44.6 %","8.5 %","2.57","3.37","3.62","0.7","1906"
"AJ Ramos","Marlins","3","4","0","68","0","80.0","9.68","4.84","0.45",".266","72.9 %","38.7 %","4.6 %","3.15","3.24","4.07","0.7","8350"
"Ernesto Frieri","Angels","2","4","37","67","0","68.2","12.84","3.93","1.44",".293","81.3 %","23.6 %","11.8 %","3.80","3.72","3.49","0.7","5178"
"Darren O'Day","Orioles","5","3","2","68","0","62.0","8.56","2.18","1.02",".248","89.2 %","36.8 %","10.4 %","2.18","3.58","3.59","0.7","3321"
"Tanner Scheppers","Rangers","6","2","1","76","0","76.2","6.93","2.82","0.70",".252","84.4 %","50.5 %","9.2 %","1.88","3.74","3.88","0.7","10267"
"Jose Veras","- - -","0","5","21","67","0","62.2","8.62","3.16","0.86",".241","76.7 %","41.8 %","8.3 %","3.02","3.62","3.95","0.7","2063"
"Tommy Hunter","Orioles","6","5","4","68","0","86.1","7.09","1.46","1.15",".249","82.4 %","39.0 %","10.9 %","2.81","3.68","3.63","0.7","1157"
"Tim Collins","Royals","3","6","0","66","0","53.1","8.78","4.73","0.51",".307","70.1 %","37.7 %","4.8 %","3.54","3.40","4.29","0.7","3164"
"Josh Outman","Rockies","3","0","0","61","0","54.0","8.83","3.83","0.50",".340","70.7 %","51.3 %","7.0 %","4.33","3.25","3.62","0.7","4004"
"Jamey Wright","Rays","2","2","0","65","0","68.1","8.43","2.77","0.40",".296","75.2 %","51.1 %","5.6 %","3.03","2.89","3.40","0.6","715"
"Aaron Loup","Blue Jays","4","6","2","64","0","69.1","6.88","1.69","0.65",".299","79.8 %","59.9 %","10.6 %","2.47","3.32","3.31","0.6","10343"
"Wilton Lopez","Rockies","3","4","0","75","0","75.1","5.73","2.15","0.72",".331","73.0 %","49.6 %","9.4 %","4.06","3.57","3.69","0.6","4227"
"Grant Balfour","Athletics","1","3","38","65","0","62.2","10.34","3.88","1.01",".263","84.4 %","37.9 %","11.1 %","2.59","3.49","3.42","0.6","718"
"Rafael Soriano","Nationals","3","3","43","68","0","66.2","6.89","2.30","0.95",".287","80.3 %","33.5 %","8.1 %","3.11","3.65","4.05","0.6","1100"
"Tony Watson","Pirates","3","1","2","67","0","71.2","6.78","1.51","0.63",".227","80.7 %","43.8 %","6.7 %","2.39","3.20","3.72","0.6","3132"
"Pedro Strop","- - -","2","5","1","66","0","57.1","10.36","4.08","0.78",".265","67.1 %","48.6 %","13.5 %","4.55","3.55","3.30","0.6","4070"
"Scott Rice","Mets","4","5","0","73","0","51.0","7.24","4.76","0.18",".289","70.4 %","60.3 %","4.0 %","3.71","3.40","3.82","0.5","2743"
"Joe Smith","Indians","6","2","3","70","0","63.0","7.71","3.29","0.71",".282","86.3 %","49.1 %","9.6 %","2.29","3.60","3.70","0.5","3281"
"Kelvin Herrera","Royals","5","7","2","59","0","58.1","11.42","3.24","1.39",".281","75.3 %","47.6 %","18.0 %","3.86","3.70","2.86","0.5","6033"
"Brad Ziegler","Diamondbacks","8","1","13","78","0","73.0","5.42","2.71","0.37",".258","80.7 %","70.4 %","12.5 %","2.22","3.40","3.32","0.5","7293"
"Justin Wilson","Pirates","6","1","0","58","0","73.2","7.21","3.42","0.49",".229","84.9 %","53.0 %","6.7 %","2.08","3.41","3.82","0.5","4301"
"Luis Avilan","Braves","5","0","0","75","0","65.0","5.26","3.05","0.14",".204","83.6 %","57.7 %","2.2 %","1.52","3.28","4.02","0.5","2882"
"Jake McGee","Rays","5","3","1","71","0","62.2","10.77","3.16","1.15",".286","73.7 %","42.5 %","12.9 %","4.02","3.41","3.11","0.5","7550"
"Chad Qualls","Marlins","5","2","0","66","0","62.0","7.11","2.76","0.58",".298","82.9 %","63.3 %","11.4 %","2.61","3.32","3.25","0.5","2170"
"Craig Breslow","Red Sox","5","2","0","61","0","59.2","4.98","2.72","0.45",".254","81.8 %","44.8 %","4.8 %","1.81","3.60","4.37","0.5","4363"
"Joel Peralta","Rays","3","8","1","80","0","71.1","9.34","4.29","0.88",".227","70.2 %","26.7 %","7.2 %","3.41","3.68","4.26","0.5","2332"
"Ryan Webb","Marlins","2","6","0","66","0","80.1","6.05","3.02","0.56",".266","75.0 %","56.3 %","8.5 %","2.91","3.60","3.79","0.5","7474"
